|freq (MHz)| vswr |R (ohms)| |X (ohms)|
9.0 116.2392267957933 1.95 -93.969999999999999
10.0 179.80788466246858 1.04 -82.760000000000005
11.0 118.62809510573724 1.3300000000000001 -73.400000000000006
12.0 109.9794765001259 1.23 -65.290000000000006
13.0 133.59953312572108 0.88 -58.119999999999997
14.0 185.34364747395037 0.56000000000000005 -51.859999999999999
15.0 181.42163307622207 0.51000000000000001 -46.109999999999999
16.0 171.02567129191996 0.48999999999999999 -41.109999999999999
17.0 136.37587089598122 0.56000000000000005 -36.310000000000002
18.0 113.59848738846664 0.62 -31.960000000000001
